old_path,category,tier,name,target_path,action,md5_8,viewbox_w,group,flags
icons/code-editor/copy.svg,code,24,copy,icons/code/24/copy.svg,move,de229ed7,22.5,code/copy,
icons/code-editor/cut.svg,code,24,cut,icons/code/24/cut.svg,move,d98329b1,22.5,code/cut,
icons/code-editor/help.svg,code,16,help,icons/code/16/help.svg,move,3e1e70e5,30,code/help,
icons/code-editor/open.svg,code,16,open,icons/code/16/open.svg,move,7bb50fa0,13.5,code/open,
icons/code-editor/paste.svg,code,24,paste,icons/code/24/paste.svg,move,846407e4,22.5,code/paste,
icons/code-editor/redo.svg,code,24,redo,icons/code/24/redo.svg,move,5f7d3ab9,22.5,code/redo,
icons/code-editor/reload.svg,code,16,reload,icons/code/16/reload.svg,move,25d9dc64,18,code/reload,
icons/code-editor/save.svg,code,24,save,icons/code/24/save.svg,move,a166854b,13.5,code/save,
icons/code-editor/template.svg,code,16,template,icons/code/16/template.svg,move,4f2e9fcd,12,code/template,
icons/code-editor/test.svg,code,16,test,icons/code/16/test.svg,move,630246f8,60,code/test,
icons/code-editor/undo.svg,code,24,undo,icons/code/24/undo.svg,move,303ede08,22.5,code/undo,
icons/toolbar/about.svg,commands,32,about,icons/commands/32/about.svg,move,b14a9b5c,24,commands/about,
icons/dashboard-buttons/abscissa.svg,commands,16,abscissa,icons/commands/16/abscissa.svg,move,54f795f6,12,commands/abscissa,
icons/start/actions.svg,commands,32,actions,icons/commands/32/actions.svg,move,e63a50b2,30,commands/actions,
icons/toolbar/activate.svg,commands,32,activate,icons/commands/32/activate.svg,move,d19e6792,22.5,commands/activate,
icons/start/add-workspace.svg,commands,32,add-workspace,icons/commands/32/add-workspace.svg,move,3d9b8c97,30,commands/add-workspace,
icons/taskbar/ai.svg,commands,48,ai,icons/commands/48/ai.svg,move,3d5a4cce,60,commands/ai,
icons/dashboard-buttons/anaglyph.svg,commands,24,anaglyph,icons/commands/24/anaglyph.svg,move,cd7117ee,22.5,commands/anaglyph,
icons/dashboard-buttons/archive.svg,commands,16,archive,icons/commands/16/archive.svg,move,0924324f,60,commands/archive,
icons/dashboard-buttons/area.svg,commands,16,area,icons/commands/16/area.svg,move,de0b09d4,12,commands/area,
icons/dashboard-buttons/audio-file.svg,commands,32,audio-file,icons/commands/32/audio-file.svg,move,f118ea3c,30,commands/audio-file,
icons/start/auto-layout.svg,commands,32,auto-layout,icons/commands/32/auto-layout.svg,move,7db17696,30,commands/auto-layout,
icons/dashboard-buttons/camcoder.svg,commands,32,camcoder,icons/commands/32/camcoder.svg,move,9c673701,30,commands/camcoder,
icons/dashboard-buttons/center.svg,commands,32,center,icons/commands/32/center.svg,move,be215ee7,30,commands/center,
icons/dashboard-buttons/clear.svg,commands,16,clear,icons/commands/16/clear.svg,move,3354902f,16,commands/clear,
icons/dashboard-buttons/color.svg,commands,16,color,icons/commands/16/color.svg,move,6c51648a,16,commands/color,
icons/start/console.svg,commands,32,console,icons/commands/32/console.svg,move,dff2b5f8,30,commands/console,
icons/taskbar/console.svg,commands,32,console,icons/commands/32/console.svg,drop-dup,dff2b5f8,30,commands/console,
icons/toolbar/console.svg,commands,32,console,icons/commands/32/console.svg,move,4f994ffa,30,commands/console,
icons/start/console-log.svg,commands,32,console-log,icons/commands/32/console-log.svg,move,76eb9017,30,commands/console-log,
icons/dashboard-buttons/crosshair.svg,commands,16,crosshair,icons/commands/16/crosshair.svg,move,c51addd6,12,commands/crosshair,
icons/toolbar/csv.svg,commands,16,csv,icons/commands/16/csv.svg,move,6bb61b05,30,commands/csv,
icons/start/csv-log.svg,commands,32,csv-log,icons/commands/32/csv-log.svg,move,0a006811,30,commands/csv-log,
icons/start/database-export.svg,commands,32,database-export,icons/commands/32/database-export.svg,move,0acee14c,30,commands/database-export,
icons/toolbar/deepwiki.svg,commands,16,deepwiki,icons/commands/16/deepwiki.svg,move,a6aa523b,12,commands/deepwiki,
icons/toolbar/deploy.svg,commands,16,deploy,icons/commands/16/deploy.svg,move,40bfd79d,16,commands/deploy,
icons/toolbar/device-setup.svg,commands,32,device-setup,icons/commands/32/device-setup.svg,move,c7b7030d,24,commands/device-setup,
icons/start/disconnect.svg,commands,32,disconnect,icons/commands/32/disconnect.svg,move,c2c948ca,30,commands/disconnect,
icons/toolbar/examples.svg,commands,16,examples,icons/commands/16/examples.svg,move,37b8cd23,12,commands/examples,
icons/start/export.svg,commands,32,export,icons/commands/32/export.svg,move,cd9d203c,30,commands/export,
icons/toolbar/extensions-small.svg,commands,16,extensions,icons/commands/16/extensions.svg,move,95d62432,16,commands/extensions,
icons/toolbar/extensions.svg,commands,48,extensions,icons/commands/48/extensions.svg,move,11114e40,60,commands/extensions,
icons/start/external-window.svg,commands,32,external-window,icons/commands/32/external-window.svg,move,562a9d0f,30,commands/external-window,
icons/start/file-transmission.svg,commands,16,file-transmission,icons/commands/16/file-transmission.svg,move,3c8d94ab,12,commands/file-transmission,
icons/taskbar/file-transmission.svg,commands,16,file-transmission,icons/commands/16/file-transmission.svg,drop-dup,3c8d94ab,12,commands/file-transmission,
icons/dashboard-buttons/filter.svg,commands,16,filter,icons/commands/16/filter.svg,move,cdc10e55,16,commands/filter,
icons/start/freeze.svg,commands,32,freeze,icons/commands/32/freeze.svg,move,68a9efb1,30,commands/freeze,
icons/dashboard-buttons/front_view.svg,commands,24,front-view,icons/commands/24/front-view.svg,move,c6be0edf,22.5,commands/front-view,
icons/start/full-screen.svg,commands,32,full-screen,icons/commands/32/full-screen.svg,move,e28f4ce5,30,commands/full-screen,
icons/toolbar/help.svg,commands,16,help,icons/commands/16/help.svg,move,09cbf108,12,commands/help,
icons/start/help.svg,commands,32,help,icons/commands/32/help.svg,move,57355879,30,commands/help,
icons/dashboard-buttons/interpolate-off.svg,commands,16,interpolate-off,icons/commands/16/interpolate-off.svg,move,3c082039,12,commands/interpolate-off,
icons/dashboard-buttons/interpolate-on.svg,commands,16,interpolate-on,icons/commands/16/interpolate-on.svg,move,d3423e1b,12,commands/interpolate-on,
icons/dashboard-buttons/invert.svg,commands,16,invert,icons/commands/16/invert.svg,move,de1eae62,12,commands/invert,
icons/dashboard-buttons/labels.svg,commands,16,labels,icons/commands/16/labels.svg,move,c7d4af6e,12,commands/labels,
icons/dashboard-buttons/left_view.svg,commands,24,left-view,icons/commands/24/left-view.svg,move,fa9b24d8,22.5,commands/left-view,
icons/dashboard-buttons/map.svg,commands,16,map,icons/commands/16/map.svg,move,de71b4b0,12,commands/map,
